OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
Q01105	P16295	Q9D1Q1	Q7RTR2	Q2KIV0	O70340	Q969X6	P08548	Q5VWQ0	P49684
Q4KL94	Q1ECW2	Q8WW22	Q7RTR2	A3KMV2	P04409	Q9D1Q1	Q95SX7	Q7RTR2	Q7TMS5
Q9JJ94	P18625	A0A0H3HIJ5	P0CT40	Q5R1W5	Q9UF02	Q92186	P15589	Q7RTR2	Q9EPR2
P62323	P58006	P0DPI2	Q7RTR2	P52815	P19336	Q8WW22	Q5RDN9	Q7RTR2	Q3T0P5
Q6PBU0	Q5XIV0	P0DPI2	Q6DHB1	Q6NY34	Q15818	P0DPI2	E7F240	Q7RTR2	P00348
Q5RBW0	Q8UUY8	P52649	Q5SPC5	Q28HC6	Q9UJW8	P18625	Q8IUR6	A6QR11	Q9H773
Q62158	Q8AXV6	P18754	Q9PW88	Q3UPE3	Q501J6	P97379	Q8VCC1	Q1L8F4	Q5XGB9
Q7RTR2	P52794	Q28D99	Q6PBT6	P0DP54	P06350	P46087	Q9CXS4	P63142	O43290
P14381	Q14964	Q923J1	Q8CDF7	O08934	Q9EQQ8	Q1JQD2	C0H9B6	P21328	Q99J36
P27118	P49864	Q6AYM1	Q5RDA8	O35047	Q28009	Q91Y80	Q5PQJ7	Q9QZC2	Q5MB13
Q5R723	Q148G5	Q5BIP8	Q5RDU7	Q6PFL6	P14381	P18754	P79826	Q9H0J9	Q8N4B5
Q6P3H7	A5WUT8	Q8IY81	Q9BDB7	A0A0R4IXF6	O60437	Q8BX13	P10522	Q90339	O88851
Q4R5C7	O75157	A8VU90	P79747	P55039	Q8VHW8	Q7ZV20	P59913	Q8BGE9	Q9BXW4
Q9H867	Q58DX5	Q8IZY2	O33479	Q9WV84	P04146	Q28D99	Q9H175	O14830	P08579
O75844	P42336	Q13415	P23253	Q9H0P0	Q96HM7	Q8VBX1	Q98SV0	P43405	Q640C5
O70320	Q8R0S1	Q02643	Q00685	Q96AY3	Q9HAR2	Q6AYM1	O95140	Q2NKQ1	Q5R5Y3
Q5NVT2	Q80UG2	P42336	Q00685	A8KBL7	Q8VBX6	Q90257	Q56A24	Q804Q2	Q5R5Y3
Q52LJ0	Q66HE5	Q71RC2	Q7RTR2	Q9UBG0	Q64487	P79741	O35274	P08548	C1JZ66
Q5ZKQ6	Q5R5J1	Q7T2D1	P20825	Q5F3X4	O73688	Q9NY61	P52909	P40306	Q9BX93
Q08DK7	O43548	Q96ER9	Q7RTR2	Q4QY64	O95477	Q8IY81	Q6UUV9	Q8K0W3	Q6R2W3
P23381	Q674X7	Q7RTX0	A7MB28	Q02373	B0BM24	E7EZF3	Q9PVW7	Q8CGM2	Q6DI06
A5D7L5	Q99JZ7	Q9BVI0	Q5RDN9	Q802G6	F1NHE9	P20397	Q5TYQ1	Q6EKJ0	Q8BGW2
P55008	Q80ZH1	Q3U1D0	O35786	Q2HJ98	Q9NBX4	Q13415	Q8I7P9	Q80T02	P62321
Q695T7	Q9HCI6	Q5ZJN4	P70079	Q90303	P18545	Q02643	P21328	Q5QQ37	Q9CXI5
Q99JH1	P48802	Q5W0B1	A1L3X0	Q5ZHZ0	Q4QY71	P08582	Q9Y2D0	Q9M2U3	Q5RCP3
Q6YJI5	Q91ZP3	A8DZE7	Q7SXB3	Q5SUC9	Q866Y3	Q2YDF1	O60381	O96006	Q6PC60
Q9Z1J8	O00268	Q5VV67	Q9JJ22	P60003	Q9NRU3	Q71RC2	Q9D8N3	E9QAG8	Q2TBP0
Q6SJP8	P56158	Q2KIJ2	Q7RTR2	Q9BQR3	Q6ZPI3	Q5E9N0	Q96FN4	Q6ZMW2	Q01105
Q1JP73	Q63184	Q13395	Q7RTR2	Q8BG32	Q15034	Q96ER9	Q9CXD9	Q7RTR2	P68266
Q502L2	P53539	A4QP75	B5MCY1	Q5F3J5	A4II20	Q6DIH3	Q9H0J9	Q7RTR2	Q90339
Q3T0M7	Q9WTW3	O02228	P08548	Q8AV13	Q8TCQ1	O43548	Q09M05	Q96LD4	P62323
Q6DGE9	Q7RTR2	Q58D06	Q95SX7	Q6P1R4	A5PMF7	Q6AXX4	Q7LHG5	Q7RTR2	Q6PBU0
Q5RF16	Q9Y6R7	A6QLJ0	P15589	Q9BUU2	D3YXK1	B5X9L9	Q5HZI2	Q7RTR2	Q64152
P83565	P31230	P48442	Q7RTR2	Q9BSF4	P56747	Q9BVI0	Q920E0	Q5R5U3	Q6PCS6
Q9Z1X9	Q8NHU3	Q99NF1	O55240	P42125	G3X987	Q3U1D0	Q9M571	P52951	Q5R6Z7
P61258	O15534	Q9WTW3	Q9H3L0	P26583	Q7ZV46	Q14146	Q862Z2	Q9TU17	F1M3J4
Q9PRJ8	Q5VWI1	P73709	A4IFA3	Q6ZWQ7	Q9P2K3	Q5ZJN4	Q24JV9	Q1XHU0	P27487
Q0P5A7	Q7T346	A0JMF7	Q5RDN9	Q7SXS8	Q5FWF7	P79398	Q5DRB8	E9QAG8	Q7RTR2
P06596	P00774	Q9H8G2	F1QHM7	P29540	P08913	Q5W0B1	Q9H694	Q6MFZ5	Q03650
Q63945	Q28DT9	Q6ZNB6	Q8IUR6	Q6GPW2	Q9JID1	Q810V0	Q1ECW2	Q6MFZ5	P14381
Q71SG7	Q16589	Q95SX7	Q8VCC1	O43670	Q3UHC7	P55167	Q9BVK6	Q6NT55	Q4RGM4
Q9P215	Q8N4U5	P70085	Q9CXS4	Q0P4D6	Q8VCW4	A8DZE7	P52624	Q2KIG3	A4IG42
Q9D7A6	Q9IA88	Q3UUQ7	C0H9B6	B0R1D5	P62697	Q5VV67	Q501X2	Q6PHG2	A4IG42
Q9R099	Q9JKZ2	Q5XIH9	Q5PQJ7	Q15067	Q86UN3	Q2KIJ2	Q28EM1	Q7RTR2	A4IG42
Q8TBK6	P04323	Q7TQH0	Q9UHJ6	Q9UHB9	P18257	Q13395	Q5M7Q1	Q6ZMW2	Q6PBX5
Q86VF5	P0CT40	Q4KMD7	P35917	Q6ZMP0	D3Z291	P13821	Q92104	Q04202	Q7T070
P82916	P21329	O57594	Q66KV4	A0AVT1	Q5VWQ0	A4QP75	Q86WT6	Q6MFZ5	Q4R5C7
Q6DI37	Q5D1E7	Q99170	P10522	Q8R4P9	Q7RTR2	Q9NRZ9	Q9Z2K0	Q7RTR2	Q5RBX7
Q9MZE0	Q9BYV9	Q5RHY1	A5WVU6	Q91WQ5	Q9HB63	Q9I9A7	P21109	Q7RTR2	B5DGM4
A4FVI0	P53450	O73761	O95140	F8RT80	O88582	O02228	Q9GZV7	P0CT40	Q9WVL0
Q04202	Q8K1S5	P17716	A2AED3	Q9UMS6	Q08509	Q58D06	O45734	Q7RTR2	P49763
Q9Y3B8	Q7Z6R9	Q6P158	Q5CZR5	Q32PL8	Q7RTR2	A6QLJ0	O88942	Q7RTR2	Q9H867
Q3ZBE6	Q63273	O00370	Q6UUV9	Q28GQ3	A6QR11	P48442	Q17QJ3	P80456	Q9NZE8
O54734	Q6P0E7	A2AR02	Q9PVW7	Q8VDW0	Q1RMB5	Q567W6	A5WUT8	O94925	Q5ZKQ6
Q5R5Y3	P15822	P28022	Q5TYQ1	P49684	Q8JFF3	Q99NF1	Q29297	Q40375	Q8VEK0
Q6PBV6	Q3UHD1	E7F6T8	Q92051	Q28CF8	P79197	P73709	Q1RLQ5	Q58L93	P84089
Q6P0F0	Q9CW07	Q9WVT0	O15539	Q7TMS5	P21328	Q4KLI2	Q6R2W3	P19221	Q6NT99
Q6DGQ0	P79145	Q9D3G5	Q6R2W3	Q9EPR2	Q9QZC2	Q3UUQ7	Q8WXA8	Q24K15	O70435
Q8BT51	Q14B48	Q90474	P21328	Q3T0P5	O73746	Q5XIH9	A5X5Y0	Q6ZQT0	Q32P59
Q5ZJM7	P35574	O57521	Q9Y2D0	P00348	Q9H0J9	Q7TQH0	Q86UP8	P14381	Q5ZMT7
O42363	Q7RTR2	Q5TF21	P10978	Q68FR3	P0CT39	P51596	Q502M6	Q8NF91	Q695T7
P14381	Q49LS6	Q7Z6R9	Q9D8N3	Q80UM7	Q8C5H1	Q92038	O60911	Q62556	Q6YJI5
Q0VC74	Q7RTR2	Q7TT49	Q96FN4	P61222	Q8BGE9	Q7SY48	P02767	Q3UZZ4	Q9Z1N1
Q7SZU9	Q7RTR2	P51916	Q7YR26	P62313	O14830	Q4KMD7	P15208	Q96MY7	Q71MM5
Q98989		O35685	Q9H0J9	Q9H773	P43405	O57594	Q9P2S6	A0JM56	Q3T0M7
Q28DB5		Q28E61	F1QXM5	Q5XGB9	Q60564	Q15397	Q16875	Q5U3G1	Q08DE6
Q9PTW9		Q99LH9	P15144	O43290	Q2NKQ1	Q99170	P70402	Q5PNP1	Q5RF16
B0K019		P22448	Q9M571	Q922V4	Q804Q2	Q8TDS4	Q8BTG3	O95428	P13437
Q497L9		P18700	Q6R5N8	Q99J36	P08548	Q5RHY1	Q2KI97	P20807	P83565
Q98SV0		Q04202	Q862Z2	Q5MB13	Q8K0W3	O73761	Q9PW70	Q16352	Q6GQ62
Q6DHN0		A4QP81	Q24JV9	Q8N4B5	O73718	Q5XG71	Q9WUB0	Q8NBH2	O42493
E2R4X3		P25391	Q9H694	Q1RLU1	Q58D85	Q9I920	Q5RB37	Q2HJ49	Q32P65
B0JZP3		Q08BS4	Q502D1	Q6DC61	Q5FWF4	Q6P158	Q5E9M1	Q8C8H8	Q9H777
Q7TN05		Q02290	Q000K2	Q28BQ6	Q8CGM2	Q2HJ56	Q80ZH1	O15040	P23368
Q4JF29			Q1ECW2	Q8R555	Q6EKJ0	A2AR02	Q7RTR2	Q96BM1	Q0P5A7
Q8BGR2			Q9BVK6	Q1ED39	O92815	Q567G6	Q6R3M4	P79747	P49290
Q2L6L1			Q3T004	O42226	Q80T02	P07756	O08739	P23253	Q3TIX9
Q4ZHW1			Q07203	P82928	Q96MB7	P28022	Q9H8U3	Q6ZQX7	Q502P0
A0JNG0			P52624	O88851	Q9M2U3	Q3T0Q8	Q8CHK7	P0C0L5	P06596
Q91975			Q501X2	P08579	E9QAG8	P49739	Q96LD4	Q00685	Q20FD0
Q9Y3E0			Q28EM1	Q640C5	Q6ZMW2	Q90474	Q8VIM6	Q00685	Q63945
Q96FN4			Q68F62	Q5R5Y3	Q7RTR2	O57521	P17655	Q9NP59	Q9TTU2
Q9DEE9			Q86WT6	Q5R5Y3	Q7RTR2	Q9ERI6	P14381	Q810W5	Q6DC04
Q7ZW00			Q9Z2K0	B7F958	Q96LD4	U3JA75	P14381	Q7RTR2	Q7ZUH1
Q0P487			P21109	C1JZ66	Q7RTR2	O35685	Q9ERS4	A7MB28	A4IHY1
Q8R034			Q9GZV7	Q9BX93	Q7RTR2	Q58DM7	Q9H840	Q6R748	Q8TBK6
Q7ZT01			O45734	O73817	Q5R5U3	Q28E61	Q7RTR2	Q9QXM1	Q86VF5
Q9GZX3			Q5SP67	Q6R2W3	Q5R5U3	Q99LH9	Q95SX7	Q6JAN0	P21328
P0C6T1			Q9DG25	Q6DI06	P52951	O75718	C0H9B6	Q9FHN8	Q9DED4
Q9D1Q1			P34024	Q8QGP3	Q80ZU9	P18700	Q4LDD4	P70079	P82916
P37059			Q17QJ3	P97478	A8YPR6	Q04202	Q8I7P9	Q32LQ4	Q5XI67
Q7LHG5			Q7RTR2	Q8BGW2	Q9TU17	Q8VI75	Q9UMQ3	Q569H4	Q6DI37
Q568D2			Q5PRC0	Q05481	E9QAG8	A4QP81	Q6DJH2	O42385	Q9MZE0
Q32P84			O02751	Q8NFH4	Q62158	P25391	P60901	A1L3X0	Q2KJI2
Q14493			I6V1W0	P62321	Q6MFZ5	Q08BS4	Q923I7	Q8UVX0	O43826
Q9UMS4			Q29297	Q5SPJ8	Q6TLI7	P55862	Q810J8	Q569K6	Q98TY9
P0DPI2			Q01459	Q5E9T9	Q6NT55		A4IG42	Q09575	O57429
Q8WXK4			Q90243	Q9CXI5	Q6PHG2		Q8CIF6	P0CT39	P27105
Q96J01			Q8WXA8	Q5RGE6	Q7RTR2		Q7LHG5	Q05586	Q5R5Y3
Q8H1F9			A5X5Y0	Q15842	Q6ZMW2		Q7RTR2	A2AV25	Q6PBV6
Q7SXM7			Q8WXA8	Q8IV48	Q04202		Q9P1Z0	Q99572	Q6P0F0
E9QJ73			Q0VA42	P84083	Q9I927		Q5PR98	Q62768	Q9CQK1
P35031			Q6TEQ0	Q9JIH2	Q6MFZ5		A2AKM2	Q96LD4	Q6DGQ0
Q7ZTM6			P03360	Q9CR60	Q9P2F6		Q5H8C1	Q7RTR2	Q8BT51
A0A2Y9HKB5			Q502M6	O35462	Q7RTR2		Q0IH86	P08548	Q5ZJM7
Q9GZV7			O60911	Q5RCP3	Q7RTR2		Q6JV22	P28022	Q5D016
P35033			P02767	Q6PC60	P24593		O95475	Q7RTR2	P14381
Q32NK7			P54727	Q92035	Q9NBX4		O15534	B5MCY1	Q7LHG5
Q14117			Q5TYP4	E1BE02	P0CT40		P54097	P15589	Q6QEF8
Q5ZMS4			P15208	P11607	P14381		Q9EQQ8	Q90805	Q7SZU9
P00375			Q16875	P62255	Q7RTR2		Q8JIS6	Q7RTR2	Q17QH8
B5X9P2			P70402	Q2TBP0	Q40375		Q5VWI1	Q7RTR2	Q9BUR5
P49326			Q2KI97	Q5U379	Q91453		Q5ZI11	P02506	Q08BY5
Q5TYQ3			P0CM16	O00743	Q91453		Q99558	Q8WXI2	Q28DB5
Q6DGV7			P02612	Q01105	Q7RTR2		Q9WUW8	P02525	Q9PTW9
Q96SL4			Q9WUB0	Q6PFP6	Q24K15		A4IHU7	P22458	B0K019
B9ENE7			Q63ZI0	Q4KL94	Q6ZQT0		O54908	Q8IUR6	Q922S8
H7C241			Q9UHE5	P58389	Q9UN19		Q5R1W5	P25155	P51910
Q08DT6			Q9UHE5	Q9JJ94	Q3SXY7		Q9QYJ4	Q9CXS4	O89110
P63219			Q5RB37	P68266	P14381		P20825	P50552	Q497L9
Q3B7G7			Q5PXT2	P62323	Q8NF91		Q7RTR2	Q9UPA5	Q497L9
Q923G2			Q5E9M1	Q64380	Q62556		Q8N4U5	Q86YT5	Q9PTS2
O35900			Q7RTR2	Q5T4B2	Q5T5X7		F1QCN0	Q9UHJ6	Q6DHN0
P03360			P04323	P68252	A3KGF7		Q8N3U4	D4ACX8	E2R4X3
Q8IXF9			Q7RTR2	Q6PBU0	Q0IHV1		P35621	Q96JQ0	P29219
P21910			P37967	P00637	Q15413		Q6P3R8	Q8R1X6	Q9JLR9
P35249			Q5M827	Q64152	Q92786		A2TJ54	Q9EPN1	Q0VC00
Q8R5G2			Q920B6	Q5RBW0	Q6PE65		F1R237	Q5TBA9	Q09632
Q3S8M4			B1A193	P52912	P79702		E9Q6E9	Q61603	Q7TN05
Q1LXI5			Q924X7	Q8VBV3	Q96MY7		P43233	Q9P2E7	P36968
Q9CQ36			P43166	Q6PCS6	Q6NRH7		B0JZV4	O93367	Q2L6L1
P48507			Q9H8U3	P08537	Q5RDA8		Q9Y6A2	A2VD00	Q4ZHW1
Q9NPI5			Q8WV15	P51151	A0JM56		Q5RGU1	Q9MZL5	A6NI61
Q9UK45			Q96LD4	Q28DT7	Q5PNP1		Q9UBI9	Q86WG3	B5X4E0
P08582			Q96LD4	O92815	P56475		Q922D8	P15390	P51665
Q2TBX0			Q02556	Q5R6Z7	Q68FE2		P46095	Q9UPM6	Q6NSR3
P80513			P17655	F1M3J4	Q9UHG0		Q4R372	Q13515	Q91975
Q8JGS0			P14381	Q7RTR2	Q8R5L3		P20825	O95140	Q8MKD5
Q91727			Q99KR7	O42586	Q3V3Q7		P06727	Q7SIB3	Q9Y3E0
Q8AY31			P08567	Q03650	P20807		Q8VIJ6	Q8BM65	Q8CIA5
P84104			Q8R0V5	P14381	Q8NBH2		A9Y006	Q66L44	Q9R1P0
Q6DBX1			P14381	Q7ZUS1	Q2HJ49		Q501Q9	Q9UPW8	Q504N0
Q2TBR2			Q9ERS4	Q4RGM4	Q7TT23		Q96IG2	Q07496	P48788
A0PJX8			Q7LHG5	P27118	Q920E3		P59622	Q6A070	Q86UP8
Q6DIH3			Q6NUX8	A4IG42	Q96BM1		P11369	P0CT39	P0C548
Q6DGZ3			Q9H840	Q7T3C7	P04323		P14381	Q04202	Q69BJ7
Q9Y6I8			Q7SVK7	Q6PBX5	Q6PJG2		A1L259	Q86TH1	P11369
Q6AXX4			Q7RTR2	Q5R723	Q8BZ32		Q3T0Q0	Q9PU36	Q6PCU2
P14769			Q95SX7	Q4QQW4	P79747		Q0EEE2	Q9QYX7	Q7ZW00
B5X9L9			Q8I7P9	Q6P3H7	P23253		P06603	P31422	Q6UWF9
P70691			O42275	Q8UUW7	Q00685		P06646	Q63881	Q8R034
Q6NRV0			P60901	Q4R5C7	P0C0L5		A6NHR9	Q7YR26	Q9GZX3
Q98UK5			Q923I7	Q5RBX7	Q00685		Q7RTR2	Q29RY7	P0C6T1
Q9UHE5			A4IG42	B5DGM4	Q00685		H0WFA5	O15943	Q568D2
Q9UHE5			Q8CIF6	Q3KRB8	Q9NP59		Q5CZR5	Q8BR07	Q9Z210
Q5E965			Q7LHG5	Q9WVL0	Q810W5			P15144	Q32P84
Q9UPQ4			O54782	Q9H867	Q7RTR2			Q09M05	P08548
A1L243			Q7RTR2	P26990	A7MB28			Q9NY28	Q7ZTZ2
Q5R5C9			Q9P1Z0	B8NM66	Q4R8Y9			Q5XXA6	Q1LW01
Q9IB83			Q5PR98	Q6QHC5	Q5RDN9			Q7Z401	P35565
Q5R5C9			Q96XY5	Q7TP47	Q6R748			Q8C5H1	P86239
Q9CQX2			Q8TE82	O75844	O00482			O55112	Q6PC64
A1A5V7			A2AKM2	Q5ZKQ6	O35786			P35906	A5YM72
P13351			Q0IH86	Q8VEK0	Q9QXM1			Q9M571	Q9UMS4
Q503P2			Q9UNW8	P56931	P14087			P18845	Q6IQC7
Q6AY25			P31230	P23381	P70079			P14381	Q9CQJ1
Q5RAL9			O96006	P84089	Q32LQ4			Q6EKJ0	P0DPI2
A6QP81			O95475	Q5RDB5	Q63ZR6			Q6R5N8	P0DPI2
Q96LD4			P54097	Q6NT99	Q569H4			Q3SXY7	Q29NT9
P80646			Q9UJ37	Q8WV93	Q8NB12			Q007T1	Q000K2
Q9Y248			Q29RA3	Q5SWK7	Q9TUQ3			Q9Y5F6	Q6TLE4
P13913			Q6B8I1	Q5ZJH9	A1L3X0			Q5DRB8	Q8WXK4
P13913			A4IHU7	O70435	P14270			Q5DRC1	Q96J01
Q5I0D7			Q5R1W5	P13821	Q2M385			Q5DRC1	Q9WU08
Q1LW01			Q9QYJ4	Q5ZMT7	Q8UVX0			Q5DRB8	Q8H1F9
