OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
				115529999	115552378			115561336	
				115530052	115552669			115560823	
				115529624	115552579			115561075	
				115529151	115554452			115561076	
				115529588	115553348			115528855	
				115529878	115553411			115528842	
				115531526	115554762			115561252	
				115530976	115554427			115561249	
				115531197	115553492			115561250	
				115530764	115554312			115561173	
				115531119	115554156			115561725	
				115530700	115553934			115561650	
				115530960	115553946			115561195	
				115531077	115553662			115561501	
				115530803	115553848			115561463	
				115530849	115553402			115561800	
				115531045	115553377			115561309	
				115531061	115554679			115561312	
				115531462	115554162			115561306	
				115532692	115554307			115561310	
				115531882	115553407			115561476	
				115532020	115554514			115560927	
				115532677	115554506			115560938	
				115532452	115553900			115561596	
				115532512	115554754			115561180	
				115532578	115554753			115561621	
				115531843	115554565			115530039	
				115532377	115553845			115529101	
				115532647	115555508			115529080	
				115532162	115556375			115529267	
				115531965	115555689			115529628	
				115532319	115554990			115529440	
				115532599	115555658			115529379	
				115532860	115556239			115529504	
				115533724	115555330			115529536	
				115533567	115555939			115529429	
				115533400	115555887			115529251	
				115532982	115555912			115529230	
				115533645	115555766			115529816	
				115533385	115555750			115529644	
				115532808	115555718			115529646	
				115533095	115555864			115531565	
				115533759	115555214			115530974	
				115532729	115555888			115530975	
				115532726	115556308			115530632	
				115532896	115556323			115530843	
				115533101	115555604			115531645	
				115533547	115555037			115530904	
				115533255	115555609			115531243	
				115532934	115555045			115531583	
				115532710	115555739			115530737	
				115533976	115555063			115531589	
				115534834	115556084			115530968	
				115534572	115555065			115530657	
				115534620	115555067			115530962	
				115534249	115555074			115531354	
				115534033	115555122			115531608	
				115534944	115556145			115531545	
				115534636	115556184			115531000	
				115534821	115555080			115531485	
				115534812	115557216			115531634	
				115534244	115556562			115532558	
				115534021	115557366			115532556	
				115534529	115557078			115532198	
				115534359	115557079			115532195	
				115534588	115557751			115532166	
				115536026	115557750			115532637	
				115535909	115557081			115532392	
				115536412	115557085			115532601	
				115536413	115557799			115532671	
				115535723	115556529			115533082	
				115536117	115557526			115533477	
				115535246	115557041			115533314	
				115536319	115557438			115533639	
				115536406	115557449			115533513	
				115536435	115557338			115533514	
				115535952	115557834			115533077	
				115536430	115557347			115533078	
				115536431	115556980			115533437	
				115535993	115556981			115533681	
				115535624	115557289			115533682	
				115535338	115557230			115533575	
				115537494	115557686			115532957	
				115537498	115556612			115533720	
				115537032	115556548			115533703	
				115537465	115557271			115533100	
				115537654	115556989			115532707	
				115537072	115556990			115533144	
				115537708	115557898			115534251	
				115537050	115559203			115534253	
				115537061	115559197			115534353	
				115537776	115559168			115534571	
				115537731	115558546			115534052	
				115537275	115558472			115534854	
				115537454	115558918			115534020	
				115538240	115558857			115534080	
				115538278	115559250			115534909	
				115538952	115558183			115534633	
				115539014	115558244			115534723	
				115540283	115558236			115534730	
				115550931	115558204			115533952	
					115558936			115534679	
					115558372			115534231	
					115558199			115534232	
					115558714			115534205	
					115558644			115534882	
					115559035			115534663	
					115558593			115534131	
					115558919			115534013	
					115560086			115536003	
					115560412			115536004	
					115560293			115535819	
					115560162			115536252	
					115559787			115535296	
					115560063			115535289	
					115559438			115535294	
					115559730			115535981	
					115560057			115535809	
					115559780			115535475	
					115559906			115535462	
					115559567			115535426	
					115560213			115535451	
					115559947			115535428	
					115560067			115536050	
					115559944			115535671	
					115559738			115536207	
					115528775			115535530	
					115528774			115536220	
					115561370			115536172	
					115560669			115536362	
					115561051			115535930	
					115560794			115536085	
					115561075			115536200	
					115561076			115537286	
					115528865			115537442	
					115561250			115537434	
					115561173			115537639	
					115561725			115537014	
					115561116			115537107	
					115561650			115537230	
					115560954			115537444	
					115528939			115537526	
					115561779			115537691	
					115561501			115538212	
					115561800			115538251	
					115560908			115538874	
					115560927			115538927	
					115560938			115538969	
					115560890			115539086	
					115560988			115539091	
					115560900			115539110	
					115561621			115539123	
					115530039			115539112	
					115529099			115539118	
					115530041			115539132	
					115529757			115539178	
					115529267			115539287	
					115529269			115539283	
					115529921			115539293	
					115529440			115539302	
					115529379			115539295	
					115529503			115539306	
					115529367			115539296	
					115529536			115539304	
					115529890			115539290	
					115529322				
					115530008				
					115530012				
					115529230				
					115529229				
					115529067				
					115529134				
					115529611				
					115529644				
					115529281				
					115529856				
					115529646				
					115531565				
					115530843				
					115531645				
					115530613				
					115530904				
					115531243				
					115531618				
					115531579				
					115531153				
					115531200				
					115531581				
					115531654				
					115531589				
					115530968				
					115531373				
					115530750				
					115531406				
					115530848				
					115531354				
					115531163				
					115531000				
					115530693				
					115530934				
					115531276				
					115531634				
					115532558				
					115532556				
					115532198				
					115532195				
					115532166				
					115532508				
					115532637				
					115532571				
					115532392				
					115532465				
					115532601				
					115532671				
					115533082				
					115533004				
					115532856				
					115533109				
					115533477				
					115533487				
					115533488				
					115533314				
					115533639				
					115533627				
					115532921				
					115533075				
					115533077				
					115533298				
					115533437				
					115532722				
					115533369				
					115533682				
					115532937				
					115533575				
					115532962				
					115532957				
					115532955				
					115532963				
					115533629				
					115533450				
					115533453				
					115533720				
					115533531				
					115533704				
					115533703				
					115533669				
					115533100				
					115532944				
					115532707				
					115533144				
					115534317				
					115534353				
					115534052				
					115534854				
					115534053				
					115534020				
					115534909				
					115534773				
					115534809				
					115534730				
					115534182				
					115534232				
					115534205				
					115534716				
					115534677				
					115533993				
					115534739				
					115534013				
					115536003				
					115535819				
					115535296				
					115535294				
					115535288				
					115535981				
					115535809				
