OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
O88819			O96006	P0DPI2	Q5PQ44		A1L259	O93367	Q503P2
P11369			P54097	Q9Y365	Q5RC04		Q3T0Q0	A2VD00	F1QLY4
Q61473			Q9UJ37	Q1KKZ6	Q96LD4		Q0EEE2	Q8BYI9	P55167
Q7TQP0			Q99558	O19094	Q7RTR2		P06603	O95206	Q06S87
P55780			Q6B8I1	Q9H553	P08548		P06646	Q9UPM6	Q3TZI6
P23633			P84611	Q8MK44	P10043		Q7RTR2	Q6PFX6	O35608
P55781			Q1AGS9	Q15021	P28022		H0WFA5	Q7SIB3	Q91YN9
			Q1AGS6	P14381	Q7RTR2		Q5CZR5	Q9UPW8	Q9BQP7
			Q5R1W5	Q91041	Q7RTR2			Q07496	Q9CQC9
			Q9QYJ4	Q91041	B5MCY1			Q6A070	P05936
			Q9QYJ4	P50222	P0CT40			Q8C419	P59041
			O55226	O35728	P15589			Q04202	Q0P5B7
			C9JR72	Q8AXF4	A0A0U1RQI7			P21328	Q4R877
			Q7RTR2	Q3T114	Q7RTR2			Q9QYX7	Q5R6K7
			Q5RFA3	Q8AYG3	Q7RTR2			P31422	B2RZD7
			Q60793	B5XGH3	Q92834			Q9ET77	O95620
			Q9NZJ4	A4FUN9	P02506			Q8VHX6	Q6XQG9
			F1R237	P40313	P48542			Q9PT92	Q8I7P9
			O54689	P40313	Q503V9			Q5S007	A9UMQ3
			P43233	P0C7U4	Q9WVL4			Q7YR26	Q8JZU0
			Q9Y6A2	P59101	O57379			Q29RY7	Q9D0S4
			O15315	Q9Y6R7	Q91998			Q8BR07	P00592
			Q922D8	Q5ZJN2	P56563			Q09M05	Q9QY94
			P20825	Q5EA87	P50552			Q9NY28	Q6DHJ3
			Q9BD50	Q90257	O00189			Q6UWM7	Q7ZXF5
			P04323	P08551	Q96H15			O55112	Q503J2
			Q6PC45	Q6P3H4	D4ACX8			P35906	Q5RI43
			P06727	P41320	P28770			P35072	Q9PWM6
			P08635	Q5XGD7	E1C8P7			Q9M571	Q90469
			A9Y006	Q8BHK1	Q61603			P14381	Q90470
			Q8K1L0	Q9Y2A9	A2VD00			Q3SXY7	O75746
			Q501Q9	Q96K37	B0BN95			Q9W7R4	Q000K2
			O97788	Q90YL3	Q9C009			Q5DRB8	A6QP81
			O88819	P49747	Q8BYI9			Q5DRC1	P38718
			A1L259	P23919	Q9NPI5			Q5DRC1	Q6DH87
			Q0EEE2	Q6DC66	Q6DGY7			Q5DRB8	A3KNA5
			P06603	Q5XJN2	Q8CBH7			Q5DRB1	A6NK06
			P06646	Q7T3H9	P27092			Q5DRC0	Q9D4G1
			Q7RTR2	Q3S8M4	Q9UPM6			Q5DRA3	Q91XW8
			O75603	Q5RF83	Q6PFX6			Q9Y5I4	Q9DHU2
			Q7Z5L0	Q69YL0	O30611			Q9P2E7	P57783
				Q03062	A6QP05			Q95MN7	F1QDI9
				O95238	Q9UPW8			Q3U507	P51916
				Q6GLL2	Q07496			Q96H15	O95395
				O15528	Q8C419			B5FYQ0	Q863Y8
				P26011	Q8IYA7			Q3T004	Q9Y6R7
				Q9PTU6	Q17R13			Q7SVK7	A3KNN3
				Q6PC19	P10044			P05696	Q6NRS2
				Q5T2N8	Q04202			Q9H4Q3	Q6PBK1
				Q925U4	P21328			Q90XW6	P11369
				Q08BL7	Q9QYX7			P09593	Q9UHE8
				Q9UBG7	P31422			Q91175	Q7RTR2
				Q3ZCC9	Q16992			P56616	Q5PQN5
				A5GFX0	Q8VHX6			Q80Z19	Q3MHK4
				B5X9L9	A4IFA3			Q7RTR2	Q5SZI1
				P17920	P35072			Q5SVZ6	P55779
				Q6DGZ1	Q60943			P17635	Q37741
				Q9UPQ4	Q9JKA7			Q29297	Q37080
				P48806	Q7Z3S7			Q8BJN4	
				Q6GNY8	Q8BGX3			Q5VST9	
				Q9ERE8	Q9ER74			P40757	
				Q9NRK6	Q29RY7			P02767	
				P79398	Q8BR07			Q68G74	
				Q6VVX0	Q09M05			Q8BHI9	
				Q503P2	Q9NY28			Q28670	
				Q8TEZ7	Q8CIZ8			Q9UL51	
				Q9NTM9	O55112			Q9NQX4	
				Q2KIJ2	P35906			Q6MZM0	
				Q3TZI6	P35072			Q5JPB2	
				Q16772	A4IFA3			Q8BZ39	
				Q5T0W9	Q9QZM3			Q9Y5R2	
				Q5ZIJ2	P14381			Q96DM1	
				Q9BQP7	Q8CFI7			Q8TDB6	
				Q28ES4	Q8N475			Q2KI97	
				O95340	Q5DRB8			O75051	
				I0IUP3	Q9Y5G7			Q80UG2	
				P21329	Q5DRB8			Q5TCQ9	
				Q29R99	Q9Y5G7			P29401	
				B0V3H4	Q5DRB6			Q13469	
				Q1LUV9	Q5DRC1			Q9WUB0	
				Q9UPQ4	Q5DRC0			Q63ZI0	
				Q0P5B7	Q5DRC1			Q61704	
				O62714	Q5DRB8			P97280	
				Q6NV04	Q5DRD3			P97280	
				Q9WUZ7	Q5DRC0			Q5RB37	
				P22907	Q5DRB1			Q9HCJ2	
				Q9D826	Q5DRC0			P12027	
				B2RZD7	Q5DRA3			Q91120	
				Q9WTW3	Q767I8			Q86Y34	
				O95620	Q9Y5I4			Q92087	
				O43826	Q9P2E7			P98088	
				Q9PUK8	Q9Y5I4			Q99PP9	
				Q6ZTZ1	Q95MN7			Q0V9L3	
				Q6XQG9	Q1ECW2			Q6P6P7	
				Q6ZVX9	Q91875			Q8WVH0	
				Q8BWJ3	Q96H15			O02751	
				A4IHB9	Q8AXV6			Q6DHV5	
				Q8I7P9	P52794			P14381	
				B0F9W3	Q8AYR6			Q7RTR2	
				Q8JIT5	O13148			P32418	
				P84082	P05696			P37206	
				Q5XJB9	Q8C428			Q8K099	
				E6ZHJ8	P29350			Q16352	
				Q8JZU0	Q9H295			Q86UR5	
